time,hs,tp
01/01/2017,"0.581987218389118","10.3390512854743"
01/01/2017 01:00,"0.59003106851565","18.3162628841711"
01/01/2017 02:00,"0.606485015696571","18.3162628841711"
01/01/2017 03:00,"0.628575905760035","18.3162628841711"
01/01/2017 04:00,"0.651526197201365","16.6511480765192"
01/01/2017 05:00,"0.67030003883893","16.6511480765192"
01/01/2017 06:00,"0.683821746487483","16.6511480765192"
01/01/2017 07:00,"0.697649999574821","16.6511480765192"
01/01/2017 08:00,"0.721767898499584","11.3729563264136"
01/01/2017 09:00,"0.754066690638239","11.3729563264136"
01/01/2017 10:00,"0.79583511321127","10.3390512854743"
01/01/2017 11:00,"0.84610813980642","13.7612772715668"
01/01/2017 12:00,"0.882270433275651","13.7612772715668"
01/01/2017 13:00,"0.914113953207591","13.7612772715668"
01/01/2017 14:00,"0.944211306530973","13.7612772715668"
01/01/2017 15:00,"0.955834666826917","13.7612772715668"
01/01/2017 16:00,"0.946807311136798","13.7612772715668"
01/01/2017 17:00,"0.927388738882827","13.7612772715668"
01/01/2017 18:00,"0.900808438995319","13.7612772715668"
01/01/2017 19:00,"0.869396838697485","12.5102520650608"
01/01/2017 20:00,"0.838170196267031","12.5102520650608"
01/01/2017 21:00,"0.812500894701444","12.5102520650608"
01/01/2017 22:00,"0.792055551386156","12.5102520650608"
01/01/2017 23:00,"0.779714864602298","13.7612772715668"
02/01/2017,"0.775696655426632","13.7612772715668"
02/01/2017 01:00,"0.774753027527741","13.7612772715668"
02/01/2017 02:00,"0.774618177471682","12.5102520650608"
02/01/2017 03:00,"0.77242517209832","12.5102520650608"
02/01/2017 04:00,"0.771019508097965","12.5102520650608"
02/01/2017 05:00,"0.771308247876292","12.5102520650608"
02/01/2017 06:00,"0.771300763342524","12.5102520650608"
02/01/2017 07:00,"0.771170679033866","12.5102520650608"
02/01/2017 08:00,"0.764857549914641","12.5102520650608"
02/01/2017 09:00,"0.750377319953001","11.3729563264136"
02/01/2017 10:00,"0.73456226245719","11.3729563264136"
02/01/2017 11:00,"0.721360064066234","12.5102520650608"
02/01/2017 12:00,"0.710982588071984","12.5102520650608"
02/01/2017 13:00,"0.703264020333653","12.5102520650608"
02/01/2017 14:00,"0.703422125762341","12.5102520650608"
02/01/2017 15:00,"0.729146488493596","12.5102520650608"
02/01/2017 16:00,"0.775562543123182","12.5102520650608"
02/01/2017 17:00,"0.825780882462249","12.5102520650608"
02/01/2017 18:00,"0.853649752598916","12.5102520650608"
02/01/2017 19:00,"0.854618925096009","12.5102520650608"
02/01/2017 20:00,"0.851926366021638","11.3729563264136"
02/01/2017 21:00,"0.868486377073334","11.3729563264136"
02/01/2017 22:00,"0.886876707644628","3.29433913878597"
02/01/2017 23:00,"0.893547550721727","3.29433913878597"
03/01/2017,"0.903128637968814","3.29433913878597"
03/01/2017 01:00,"0.923884739983497","3.62377308824239"
03/01/2017 02:00,"0.947531197012517","3.62377308824239"
03/01/2017 03:00,"0.965388593106845","3.62377308824239"
03/01/2017 04:00,"0.961104490389986","3.98615022486996"
03/01/2017 05:00,"0.936345209196212","3.98615022486996"
03/01/2017 06:00,"0.889861001873899","3.98615022486996"
03/01/2017 07:00,"0.838362075084097","10.3390512854743"
03/01/2017 08:00,"0.790905015911617","10.3390512854743"
03/01/2017 09:00,"0.736997032066558","10.3390512854743"
03/01/2017 10:00,"0.67802210144349","10.3390512854743"
03/01/2017 11:00,"0.628915447475935","10.3390512854743"
03/01/2017 12:00,"0.597823592571396","10.3390512854743"
03/01/2017 13:00,"0.57575796511883","10.3390512854743"
03/01/2017 14:00,"0.562063468546471","10.3390512854743"
03/01/2017 15:00,"0.5674246183439","10.3390512854743"
03/01/2017 16:00,"0.582077219146762","10.3390512854743"
03/01/2017 17:00,"0.586426899531227","10.3390512854743"
03/01/2017 18:00,"0.573873493796756","10.3390512854743"
03/01/2017 19:00,"0.554154448971393","10.3390512854743"
03/01/2017 20:00,"0.529094468192839","10.3390512854743"
03/01/2017 21:00,"0.49670883604784","10.3390512854743"
03/01/2017 22:00,"0.453431509176598","10.3390512854743"
03/01/2017 23:00,"0.414062117331083","10.3390512854743"
04/01/2017,"0.386105488273769","10.3390512854743"
04/01/2017 01:00,"0.369542437400009","10.3390512854743"
04/01/2017 02:00,"0.361201124882181","10.3390512854743"
04/01/2017 03:00,"0.35705681477584","9.39913746642808"
04/01/2017 04:00,"0.354246597369255","9.39913746642808"
04/01/2017 05:00,"0.351684170206391","9.39913746642808"
04/01/2017 06:00,"0.347937829708819","9.39913746642808"
04/01/2017 07:00,"0.342272932215579","9.39913746642808"
04/01/2017 08:00,"0.336185949985325","9.39913746642808"
04/01/2017 09:00,"0.330449383108493","9.39913746642808"
04/01/2017 10:00,"0.326342563934357","9.39913746642808"
04/01/2017 11:00,"0.34096815994068","9.39913746642808"
04/01/2017 12:00,"0.35575047725451","9.39913746642808"
04/01/2017 13:00,"0.37461358343262","9.39913746642808"
04/01/2017 14:00,"0.39413333339764","9.39913746642808"
04/01/2017 15:00,"0.41397989764606","9.39913746642808"
04/01/2017 16:00,"0.433219413538081","9.39913746642808"
04/01/2017 17:00,"0.448874086847805","9.39913746642808"
04/01/2017 18:00,"0.458419176932922","9.39913746642808"
04/01/2017 19:00,"0.457413096292506","9.39913746642808"
04/01/2017 20:00,"0.444994946414695","9.39913746642808"
04/01/2017 21:00,"0.428312748848474","9.39913746642808"
04/01/2017 22:00,"0.413892305732013","9.39913746642808"
04/01/2017 23:00,"0.399941678592676","9.39913746642808"
